Project Name (Eng),Project Name (Chi),Project Address,District,Project Type,Owner / Developer Name,BEAM Pro,Tool,Current Status,Year,Validity,Green Build Cert Label No,Online exhibition,Outstanding Performance in ES Cat
#LYOS,N/A,"2 Hung Yuen Road, Hung Shui Kiu",NT - Yuen Long,Residential,Art Rich Investment Limited,Wong Man Sze,NB V1.2,Final Unclassified,2023,Valid,PAU0066/21; FAU0021/23,,
'+WOO,嘉湖,"12 & 18 Tin Yan Road, Tin Shui Wai, Yuen Long, New Territories",NT - Yuen Long,Commercial,ARA ASSET MANAGEMENT (FORTUNE) LIMITED,POON Ka Man,EB V2.0 Sel. MAN,Excellent,2021,Valid,,,
1 Plantation Road,種植道一號,"No. 1  Plantation Road, The Peak, Hong Kong",HK - Central & Western,Residential,HKRT Peak Properties Limited,NG Ka Wai,NB V1.1,Provisional Bronze,2014,Valid,PAB0052/25,,
"1 Tai Yip Street, Kwun Tong, Kowloon.",,"1 Tai Yip Street, Kwun Tong, Kowloon.",KLN - Kwun Tong,Hotel,Great Virtue Ventures Limited,,NB V1.2,Registered,2021,Valid,,,
10 LaSalle,瀚名,"10 La Salle Road, Ho Man Tin, Kowloon, Hong Kong",KLN - Sham Shui Po,Residential,Smart Value Investments Limited & High Dynamic Holdings Limited,Hui Pui Shan,NB V1.2,Final Silver,2021,Valid,FAS0014/21; PAS0034/20,,
1063 King's Road,英皇道1063號,"1063 King's Road, Quarry Bay, Hong Kong",HK - Eastern,Commercial,Hong Kong Housing Society,CHAN Chun Kit,EB V2.0 Comp. A,Registered,2024,Valid,,,
"11 Kwun Fung Street, Siu Lam, Tuen Mun, N.T",,"11 Kwun Fung Street, Siu Lam, Tuen Mun, N.T",NT - Tuen Mun,Residential,Fortune Loyal Development Limited,Fredrick Leong,NB V1.2,Final Unclassified,2023,Valid,,,
11 SKIES,,"8 Sky City Road East, Hong Kong International Airport",NT - Islands,Commercial,Roxy Limited,LAM Cheuk Yin,NB V1.2,Provisional Gold,2021,Valid,,,
1111 King's Road,英皇道1111號,"1111 King's Road, Taikoo Shing, Hong Kong",HK - Eastern,Commercial,Gaw Capital Advisors Limited,"MAK Kei Choi, Henry",EB V2.0 Comp. A,Final Platinum,2023,Valid,,https://greenbuilding.hkgbc.org.hk/projects/view/142,
116 Waterloo Road,,"No. 116 Waterloo Road, Kowloon",KLN - Kowloon City,Residential,Wellway Limited,LI Montgomery Hin Fung,NB V2.0,Registered,2022,Valid,,,
1-17 Hei Wo Street,,1-17 Hei Wo Street,HK - Eastern,Mixed Use,Bright Rainbow Limited,N/A,NB V1.2,Registered,2017,Valid,,,
12 Tai Koo Wan Road & 14 Tai Koo Wan Road,太古灣道12號&太古灣道14號,"12 Taikoo Wan Road & 14 Taikoo Wan Road, Taikoo Shing, Hong Kong",HK - Eastern,Commercial,Harmony Lotus Limited,"MAK Kei Choi, Henry",EB V2.0 Comp. A,Final Platinum,2023,Valid,,https://greenbuilding.hkgbc.org.hk/projects/view/143,
127 Repulse Bay Road,淺水灣道127號,"127 Repulse Bay Road, Repulse Bay",HK - Southern,Residential,,Mr Au Tat Kay,EB V2.0 Sel. MAN,Good,2020,Valid,,,
128 WATARLOO,Nil,"128 Waterloo Road, Kowloon, Hong Kong",KLN - Yau Tsim Mong,Residential,Great Prosper Development Limited,Fredrick Leong,NB V1.2,Final Unclassified,2022,Valid,FAU0015/22; PAU0052/20,,
13-17 Fu Uk Road,傅屋道,"13-17 Fu Uk Road, Kwai Chung",NT - Tsuen Wan,Residential,Starrylight Limited,"CHIU Ka Fai, Calvin",NB V1.2,Registered,2016,Valid,,,
133 Portofino,Nil,"133 Hong Kin Road, Sai Kung, New Territories, Hong Kong",NT - Sai Kung,Residential,Joy Rise Limited,Ma Yee Ling,NB V1.2,Final Bronze,2022,Valid,"PAB0030/19, FAB0011/23",,
1-4 Chancery Lane,,"Nos. 1-4 Chancery Lane, Central",HK - Central & Western,Mixed Use,Daily Grace Limited & Mega Peace (Hong Kong) Limited,Ir Yuen Kwong Tam,NB V1.2,Provisional Gold,2021,Valid,,,
"14/F of M+ Tower, West Kowloon Cultural District",,"14/F of M+ Tower, West Kowloon Cultural District",KLN - Kowloon City,Institutional Space,Lingnan University,MAK Kei Choi,BI V2.0,Registered,2024,Valid,,,
148 Electric Road,電氣道148號,"148 Electric Road , North Point, Hong Kong",HK - Eastern,Commercial,Best Origin Limited,Jason Tse,EB V2.0 Comp. A,Registered,2024,Valid,,,
15 Shouson Hill Road West & Rural Building Lot No. 1198,壽臣山15 號,No. 15 Shouson Hill Road West,HK - Southern,Residential,Talent Charm Corporation Limited,"CHEUNG Wai Hin, Andy",NB V1.2,Final Bronze,2022,Valid,PAB0039/21,,
15 WESTERN STREET,NA,"13, 15, 17 Western Street, Sai Ying Pun, Hong Kong",HK - Central & Western,Mixed Use,Richford Trading Limited,"Mo Cheung Ying, Eagle",NB V1.2,Final Gold,2023,Valid,"PAG0069/19, FAG0021/23",,
157 - 159 Johnston Road,莊士敦道157-159號,"157-159 Johnston Road, Wanchai, Hong Kong",HK - Wan Chai,Commercial,F.L. Land & Investment (HK) Co. Ltd.,Mr Lam Lo,NB V1.2,Provisional Silver,2022,Valid,,,
"16, 18 & 20 Temple Street, Yau Ma Tei, Kowloon","九龍油麻地廟街16, 18 及20號","16, 18 & 20 Temple Street, Yau Ma Tei, Kowloon",KLN - Yau Tsim Mong,Mixed Use,Union World Development Limited,Andy Lai,NB V2.0,Registered,2021,Valid,,,
163 QRE,,"No. 163 Queen's Road East, Hong Kong",HK - Wan Chai,Commercial,Eldridge Investments Limited,Cheuk Yin LAM,NB V1.2,Final Unclassified,2025,Valid,,,
17-17A Shelter Street,,"17-17A Shelter Street, Causeway Bay, Hong Kong",HK - Wan Chai,Commercial,City Synergy Limited,,NB V1.2,Registered,2019,Valid,,,
18 Farm Road Shopping Arcade,農圃道18 號(商場),"No.18 Farm Road, Ma Tau Wai, Kowloon",KLN - Kowloon City,Commercial,Hong Yip Service Company Limited,Au Tat Kay,EB V2.0 Sel. MAN,Good,2022,Valid,,,
18 Gage Street,結志街18號,"No. 16-20 Gage Street, Central, Hong Kong",HK - Central & Western,Residential,Favour Day Limited,Andy Lai,NB V2.0,Registered,2019,Valid,,,
18 Mosque Street,NA,"18 Mosque Street, Hong Kong",HK - Central & Western,Residential,Mosque Investment Properties Limited,Steve Lo,NB V1.1,Final Unclassified,2021,Valid,,,
18 Rosewood,18 逸品,"Tuen Mun Town Lot No.430, 18 Fu Shing Street, Area 52, Fu Tei, Tuen Mun, New Territories, Hong Kong",NT - Tuen Mun,Residential,Smart Touch Investments Limited,"Mo Cheung Ying, Eagle",NB V1.2,Final Unclassified,2019,Expired,,,
"183 Wai Yip Street, Kwun Tong",,"183 Wai Yip Street, Kowloon, Hong Kong",KLN - Kwun Tong,Industrial,Dragon Genius Enterprises Limited,JIANG Wei,NB V1.2,Final Unclassified,2022,Valid,,,
20 Peak Road,山頂道20號,"20 Peak Road, Hong Kong",HK - Central & Western,Residential,Classic Happiness Company Limited,"KWOK May Han, Grace",NB V1.1,Final Unclassified,2018,Expired,FAU0004/18,,
2016-001EB(O) - Name undisclosed,,Unable to disclose,NT - Sai Kung,Others,HKEx Property Limited,Tang Siu Wah Alain,EB V2.0 Comp. A,Final Platinum,2018,Expired,,,
2023-187EB(C) - Name undisclosed,,Unable to disclose,NT - Sai Kung,Commercial,HKEx Property Limited,Shashank Gangil,EB V2.0 Comp. A,Final Platinum,2024,Valid,,,
208 JOHNSTON,,"206-212 Johnston Road, Wan Chai, Hong Kong",HK - Central & Western,Commercial,Great Top Development Limited,SZETO Chun Tak,NB V1.2,Final Bronze,2024,Valid,,,
21 Borrett Road,,21 Borrett Road,HK - Central & Western,Residential,Bristow Investments Limited,Wong Man Sze,NB V1.1,Final Unclassified,2025,Valid,,,
21 Coombe Road,甘道21號,"21 Coombe Road, The Peak",HK - Central & Western,Residential,Nan Fung Property Management,TANG Siu Tung,EB V2.0 Sel. MAN,Good,2024,Valid,,,
21 Valley Road,山谷道21 號,"21 Valley Road, Homantin",KLN - Kowloon City,Mixed Use,Auspice Investment Limited,Lai Shing Leong,NB V1.2,Provisional Unclassified,2021,Valid,,,
"219-219E Nathan Road & 97 Austin Road, Kowloon - L.I.L. 6345",,"219-219E Nathan Road & 97 Austin Road, Kowloon",KLN - Yau Tsim Mong,Commercial,Jannerson Ltd,Hing Kwok LI,NB V1.2,Registered,2018,Valid,,,
233 Prince Edward Road West,太子道西233號,233 Prince Edward Road West,KLN - Yau Tsim Mong,Residential,Noble Power Enterprises Limited,"IP Chee Wang, Rodney",NB V1.2,Provisional Bronze,2022,Valid,PAB0048/24,,
235 Wing Lok Street Trade Centre,永樂街235商業中心,"No. 235 Wing Lok Street, Sheung Wan, Hong Kong",HK - Central & Western,Commercial,Bestguard Investment Limited,Ir TAM Yuen Kwong,EB V2.0 Sel. SA,Excellent,2022,Valid,,,
24-30 Fuk Chak Street,,"24-30 Fuk Chak Street, Tai Kok Tsui",KLN - Yau Tsim Mong,Residential,Marwin Investment Limited,,NB V2.0,Registered,2024,Valid,,,
24A & 24B Granville Road,,"Nos. 24A & 24B Granville Road, Tsim Sha Tsui, Kowloon, Hong Kong",KLN - Yau Tsim Mong,Commercial,Yan and Hing Development Ltd,"Ir Tam Yuen Kwong, Nelson",NB V2.0,Pre-requisites_Achieved,2022,Valid,,,
"25 Wong Nai Chung Road, Hong Kong – I.L. 8701",香港黃泥涌道25號內地段8701重建計劃,"Inland Lot No. 8701 - No. 25 Wong Nai Chung Road, Happy Valley, Hong Kong",HK - Wan Chai,Residential,City Cheer Company Limited,SZETO Chun Tak,NB V1.2,Final Unclassified,2020,Valid,,,
26 Nathan Road,彌敦道26號,"26 Nathan Road, Tsim Sha Tsui",KLN - Yau Tsim Mong,Commercial,Sun Hung Kai Properties Limited,Au Tat Kay,EB V2.0 Sel. MAN,Excellent,2020,Valid,,https://greenbuilding.hkgbc.org.hk/projects/view/268,
269 Queen’s Road East,,269 Queen’s Road East,HK - Wan Chai,Mixed Use,Achieve Bright Limited,Lo Lam,NB V2.0,Registered,2022,Valid,,,
"2-6A Cameron Road, Tsim Sha Tsui, Kowloon",,"2-6A Cameron Road, Tsim Sha Tsui, Kowloon",KLN - Yau Tsim Mong,Commercial,Winland Ginza Limited,"Tam Yuen Kwong, Nelson",NB V1.2,Registered,2021,Valid,,,
28 Aberdeen St.,,28 Aberdeen Street,HK - Central & Western,Residential,Joint Rise International (HK) Limited c/o The Development Studio Limited,"KWOK May Han, Grace",NB V1.2,Final Silver,2019,Expired,PAU0011/16,https://greenbuilding.hkgbc.org.hk/projects/view/171,
28 Hennessy Road,軒尼詩道28號,"28 Hennessy Road, Wan Chai, Hong Kong",HK - Wan Chai,Commercial,Swire Properties Limited,Karl Wong,EB V2.0 Comp. A,Final Platinum,2018,Expired,,https://greenbuilding.hkgbc.org.hk/projects/view/136,
2gether,䨇寓,8 Wu On Street,NT - Tuen Mun,Mixed Use,Rainbow Alpha Holdings Limited,"Szeto Chun Tak, Tommy",NB V1.2,Final Silver,2020,Valid,PAB0014/16,,
3 Clear Water Bay,清水灣3號,"15 Pik Sha Road, 3 Clear Water Bay, Silverstrand, Sai Kung",NT - Sai Kung,Residential,Asia Perfect Development Limited,JIANG Wei,NB V1.1,Final Bronze,2020,Valid,,,
3 Julia Avenue,棗梨雅道3號,3 Julia Avenue (Domestic Portion on the Upper Floors) and 116 Argyle Street (Shops from Ground Floor to First Floor),KLN - Kowloon City,Mixed Use,Charmlink Limited,"KWONG Kin Yip, Paul",NB V1.1,Final Unclassified,2018,Expired,PAU0002/14,,
3 MacDonnell Road,麥當勞道3號,"3 MacDonnell Road, Mid-Level, Hong Kong",HK - Central & Western,Residential,Sources Fame Management Limited,"Mr. MAK Kei Choi, Henry",EB V2.0 Sel. MAN,Excellent,2024,Valid,,,
"300-Place Student Hostel at Shaw Campus, CUHK",Nil,"Shaw Campus, The Chinese University of Hong Kong",NT - Sha Tin,Government Institutional and Community,The Chinese University of Hong Kong,Fredrick Leong,NB V1.2,Registered,2020,Valid,,,
33 Kennedy Road,堅尼地道33號,"Nos. 33-35 Kennedy Road, Hong Kong",HK - Central & Western,Residential,Board Profile Limited & Come First Limited c/o TDS Management Limited,"Tam Yuen Kwong, Nelson",NB V1.2,Provisional Silver,2021,Valid,PAS0047/24,,
33 South Lantau Road,大嶼山長沙丈量約份第332約地段第750號之住宅項目,"33 South Lantau Road, Lantau Island, HK",NT - Islands,Residential,(Developer): Lantau  Development Co. Ltd.; (Owner): Dawn Rider Limited,AU Pui Nang Benny,NB V1.2,Final Gold,2018,Expired,,,
348 Kwun Tong Road,觀塘道348號,348 Kwun Tong Road,KLN - Kwun Tong,Commercial,Sunstone KB (HKSAR) Limited,WANG Yuan,NB V1.2,Final Gold,2019,Expired,,https://greenbuilding.hkgbc.org.hk/projects/view/155,
363-367 Shau Kei Wan Road,,"363-367 Shau Kei Wan Road, Hong Kong",HK - Eastern,Mixed Use,Andrew Lee King Fun & Associates Architects Limited (Authorized by Fortress City Limited),Kaixin Xu,NB V1.1,Final Unclassified,2023,Valid,,,
38 Repulse Bay Road (Common Area),淺水灣道38號  (公眾位置),"38 Repulse Bay Road, Repulse Bay, Hong Kong",HK - Southern,Residential,Famous General Limited,Cheung Cho Man,EB V2.0 Comp. A,Final Gold,2023,Valid,,,
38 Wing Kei Road,38永基路,"38 Wing Kei Road, Kwai Chung, New Territories",NT - Kwai Tsing,Industrial,Vision Land Limited,Wong Man Sze,NB V1.2,Final Silver,2024,Valid,,,
383 King’s Road,,"Nos. 383-385 King's Road, North Point, Hong Kong",HK - Eastern,Commercial,WINTER GLORY LIMITED,TAM Chi Fung,NB V1.2,Final Unclassified,2024,Valid,,,
"394-Place Student Hostel in Area 39, The Chinese University of Hong Kong",,The Chinese University of Hong Kong,NT - Sha Tin,Government Institutional and Community,The Chinese University of Hong Kong,Kaixin Xu,NB V2.0,Registered,2023,Valid,,,
3971 - Hing Wan Street,,"5-9 Hing Wan Street, WanChai Hong Kong",HK - Wan Chai,Hotel,Charmfame International Limited,HUI Kwan,NB V1.2,Registered,2013,Valid,,,
3-Storey Single Family House,,"No.11 Stafford Road, Kowloon Tong",KLN - Kowloon City,Residential,Tact Champion Co Limited,N/A,NB V1.1,Registered,2011,Valid,,,
42 TUNG ST.,,"No. 42-46 Tung Street, Sheung Wan, Hong Kong",HK - Central & Western,Residential,Wider Aim Limited c/o TDS Management Ltd,Dimitri LO,NB V1.2,Provisional Silver,2020,Valid,PAS0032/20,,
420 Prince Edward Road West,,420 Prince Edward Road West Kowloon,KLN - Kowloon City,Mixed Use,Wise City Investment Ltd,JIANG Wei,NB V1.2,Final Bronze,2019,Expired,,,
4-24 Nam Kok Road,4-24 南角道,"4-24 Nam Kok Road, Kowloon City",KLN - Kowloon City,Mixed Use,"Star Hero Investment Limited, Easy Region Limited, Equal Fame Limited",Sze-To Hiu Yue,NB V2.0,Provisional Gold,2023,Valid,PAG0143/23,,
45 Tai Tam Road,大潭道45號,"No. 45 Tai Tam Road, Hong Kong",HK - Southern,Residential,Tania Development Limited,"KOWK May Han, Grace",NB V1.1,Final Unclassified,2020,Valid,PAU0023/17,,
456 Sai Yeung Choi Street North,西洋菜北街456號,"456-466 Sai Yeung Choi Street North and 50-56 Wong Chuk Street, Kowloon",KLN - Sham Shui Po,Residential,Fully International Limited,"KWOK May Han, Grace",NB V1.2,Registered,2021,Valid,REG0017/23,,
46-48 Fui Yiu Kok Street,,"46-48 Fui Yiu Kok Street, Tsuen Wan",NT - Tsuen Wan,Industrial,Gain Concept Limited,,NB V1.2,Registered,2019,Valid,,,
"5 San Yick Lane, Tuen Mun, New Territories",,"5 San Yick Lane, Tuen Mun, New Territories",NT - Tuen Mun,Industrial,Gleeville One Company Ltd.,"KWOK May Han, Grace",NB V1.2,Registered,2017,Valid,,,
50 Island Road,香島道50號,"50 Island Road, Deep Water Bay",HK - Southern,Residential,,Mr Au Tat Kay,EB V2.0 Sel. MAN,Good,2020,Valid,,,
52-56 Kwun Chung Street,,52-56 Kwun Chung Street,KLN - Yau Tsim Mong,Residential,Everyear Investment Development Limited,N/A,NB V1.2,Registered,2014,Valid,,,
6 High Street,高街6號,6 High Street,HK - Central & Western,Residential,Excel Billion Holdings Limited,Ms. LIN Yu,NB V2.0,Pre-requisites_Achieved,2023,Valid,PAU0101/24,,
618 Shanghai Street,618 上海街,"618 Shanghai Street, Mongkok, Kowloon, Hong Kong",KLN - Yau Tsim Mong,Commercial,Urban Renewal Authority,CHOI Sze Wing,NB V1.2,Final Platinum,2020,Valid,,https://greenbuilding.hkgbc.org.hk/projects/view/129,
63 Pokfulam,薄扶林道63號,"63 Pok Fu Lam Road, Hong Kong",HK - Central & Western,Residential,Fullco Development Ltd,Lee Kin Sing,NB V1.2,Final Unclassified,2024,Valid,PAU0025/17,,
68 Hing Man Street Hong Kong,N/A,68 Hing Man Street Hong Kong,HK - Eastern,Commercial,Triple Reach International (CI) Limited,Ms. LIN Yu,NB V2.0,Registered,2021,Valid,,,
68 Kai Yuen Street,,"Project Address (Eng)*	56-74 Kai Yuen Street, Hong Kong	Architect",HK - Eastern,Residential,Chief Lead Limited,Lo Lam,NB V2.0,Registered,2023,Valid,,,
68 Yee Wo Street,怡和街68號,"68 Yee Wo Street, Causeway Bay, Hong Kong",HK - Wan Chai,Commercial,Savills Property Management Limited,Lee Man Kwong,EB V2.0 Sel. MAN,Excellent,2023,Valid,,,
7 Connaught Road West & 13 New Market Street,,"7 Connaught Road West and 13 New Market Street, Hong Kong",HK - Central & Western,Hotel,WINNING GLOBAL INVESTMENTS LIMITED,"Mo Cheung Ying, Eagle",NB V1.2,Provisional Unclassified,2016,Expired,,,
7-15 Mount Kellett Road (2019),加列山道7-15號,"7-15 Mount Kellett Road, The Peak",HK - Central & Western,Residential,N/A,TANG Siu Tung,EB V2.0 Sel. MAN,Good,2020,Valid,,https://greenbuilding.hkgbc.org.hk/projects/view/193,
7-15 Mount Kellett Road (2024),加列山道7-15號,"7-15 Mount Kellett Road, The Peak",HK - Central & Western,Residential,Nan Fung Property Management,TANG Siu Tung,EB V2.1,Registered,2024,Valid,,https://greenbuilding.hkgbc.org.hk/projects/view/193,
77/79 Peak Road,77/79 Peak Road,"79 Peak Road, 79A Peak Road & 77 Peak Road, The Peak, Hong Kong",HK - Central & Western,Residential,HKRT Peak Properties Limited,NG Ka Wai,NB V1.1,Final Gold,2021,Valid,,https://greenbuilding.hkgbc.org.hk/projects/view/400,
